signal_squared,p,repetition,risk
2,20,13,0.15044129700125294
2,20,14,0.080367503292576692
2,20,15,0.067324954377383062
2,20,16,0.066857708882727143
2,20,17,0.1795328093569965
2,20,18,0.069124790898920443
2,20,19,0.18231157752056243
2,20,20,0.051463617012147488
2,40,1,0.25710331580388673
2,40,2,0.26251147207010805
2,40,3,0.22738826881233207
2,40,4,0.25149614025719602
2,40,5,0.31201485814312957
2,40,6,0.36371967986638243
2,40,7,0.22483947222230274
2,40,8,0.24931485261246628
2,40,9,0.22879886055848925
2,40,10,0.16831511471967747
2,40,11,0.24443328612677567
2,40,12,0.19342150223819365
2,40,13,0.21118459376768234
2,40,14,0.28086295529859001
2,40,15,0.29708694253772772
2,40,16,0.19218761872099072
2,40,17,0.29164171201855865
2,40,18,0.28793033342552032
2,40,19,0.21333649174827399
2,40,20,0.22035461598562467
2,60,1,0.46743901284137312
2,60,2,0.55551505830281256
2,60,3,0.33759029590165579
2,60,4,0.31906454531523593
2,60,5,0.39886358587991555
2,60,6,0.49584175227789973
2,60,7,0.61269980074955566
2,60,8,0.43232254709599272
2,60,9,0.40031162909061452
2,60,10,0.39300687459692485
2,60,11,0.55952662590913915
2,60,12,0.32902610711233798
2,60,13,0.28475886509230819
2,60,14,0.29042894566768029
2,60,15,0.42894447798915997
2,60,16,0.41242336327011686
2,60,17,0.40877903975502644
2,60,18,0.52000327069958963
2,60,19,0.43904857171151018
2,60,20,0.49768866242285209
2,80,1,0.57115424088794275
2,80,2,0.55248201352874049
2,80,3,0.60051213008506787
2,80,4,0.82253637822455583
2,80,5,0.76483924560220617
2,80,6,0.66233549516889045
2,80,7,0.50247284406479342
2,80,8,0.79152538621465951
2,80,9,0.6918064185487498
2,80,10,0.52636075346956546
2,80,11,0.69576267717596341
2,80,12,0.69685874419602822
2,80,13,0.75456715785415107
2,80,14,0.4699834782636968
2,80,15,0.80281249455961579
2,80,16,0.66558755649349521
2,80,17,0.56987193044902396
2,80,18,0.59895660015233099
2,80,19,1.1633973578437067
2,80,20,0.49263663093683657
2,100,1,0.83230535286381802
2,100,2,0.92935575011369387
2,100,3,1.0884376010915895
2,100,4,1.197801708156127
2,100,5,1.0981948036229856
2,100,6,1.3760782104623479
2,100,7,1.0188734444483056
2,100,8,1.154944927943498
2,100,9,1.6007578544494607
2,100,10,1.0218711002386958
2,100,11,1.1367022897993637
2,100,12,0.9958553288865285
2,100,13,0.81288522717236744
2,100,14,0.86643930665711422
2,100,15,0.90892189782616761
2,100,16,1.0278664187911011
2,100,17,0.87171245896206095
2,100,18,0.97394639539015315
2,100,19,0.82637654505272862
2,100,20,0.96505323185832381
2,120,1,1.7205698362147901
2,120,2,1.6453762067538895
2,120,3,2.0579689244825072
2,120,4,1.9547817319491305
2,120,5,1.6890444580789774
2,120,6,1.575086950779667
2,120,7,2.300716884016683
2,120,8,1.9973670422332299
2,120,9,0.93015602678009723
2,120,10,1.6576742639615365
2,120,11,1.6922771428280652
2,120,12,1.7039952337103659
2,120,13,1.4749640633723617
2,120,14,1.9852400804888539
2,120,15,1.3631650079940445
2,120,16,1.6187549269248389
2,120,17,1.3082989354726993
2,120,18,2.2654244626001749
2,120,19,0.99857391123032557
2,120,20,1.4033726424784749
2,140,1,2.17522733382321
2,140,2,2.0828531257269587
2,140,3,2.3529248578533033
2,140,4,1.8885430047853502
2,140,5,2.6507470154457691
2,140,6,2.0879364628220038
2,140,7,1.6916574262687614
2,140,8,1.5170802774112744
2,140,9,2.134309413326938
2,140,10,1.9218678077581408
2,140,11,2.1547935870019064
2,140,12,2.8505195094836937
2,140,13,2.6537105338292042
2,140,14,2.7688692062367655
2,140,15,1.6609373837890635
2,140,16,3.2815671890521911
2,140,17,1.7942579835351695
2,140,18,2.7866408334386601
2,140,19,2.374378474535388
2,140,20,1.8634376024864887
2,160,1,6.1029185616859456
2,160,2,4.876891399788434
2,160,3,5.1369895262245393
2,160,4,3.2628298042776822
2,160,5,5.6478228170730818
2,160,6,4.0558303932415081
2,160,7,3.458652112054839
2,160,8,4.1555314661739979
2,160,9,3.8374433473596015
2,160,10,5.3324560094347495
2,160,11,2.9204701079428506
2,160,12,3.813240657901114
2,160,13,4.6313837794430306
2,160,14,5.0847782191148809
2,160,15,5.1295662835965885
2,160,16,3.2107788697795421
2,160,17,6.0838730691543477
2,160,18,4.2436557921965674
2,160,19,5.610479066271906
2,160,20,5.2426283727857266
2,180,1,18.369718606056914
2,180,2,9.8755383675359631
2,180,3,9.2973274670133446
2,180,4,9.2154693906605694
2,180,5,12.008761169186524
2,180,6,10.625194262851059
2,180,7,10.082998593886533
2,180,8,13.056061239042405
2,180,9,11.820954468743341
2,180,10,5.845701085226124
2,180,11,14.45426304903534
2,180,12,7.5448582558891486
2,180,13,7.7803421467311731
2,180,14,8.8011823282140522
2,180,15,6.2176837795458368
2,180,16,11.435323209330182
2,180,17,12.417163447239066
2,180,18,13.596857923226041
2,180,19,8.2871278012544565
2,180,20,6.4200922136180409
2,199,1,1927.2651919758632
2,199,2,55.866511605201438
2,199,3,129.68258322826748
2,199,4,74.594988324264932
2,199,5,798.90781428591163
2,199,6,104.8358409490675
2,199,7,180.1070748870471
2,199,8,183.19082409362005
2,199,9,925.64559193387254
2,199,10,19.701983511594221
2,199,11,163.05733595817256
2,199,12,50.768695671345952
2,199,13,174.81834567672166
2,199,14,173.86709476256897
2,199,15,223.33547498057777
2,199,16,212.79278299117701
2,199,17,688.69304438021402
2,199,18,118.98715511012892
2,199,19,1463.9329125412596
2,199,20,206.35623810734197
2,200,1,708.92073884174579
2,200,2,165.34580381239829
2,200,3,348.16750825048086
2,200,4,63.731223196317522
2,200,5,51.17385485186508
2,200,6,1983.5173578900053
2,200,7,176.6045294412171
2,200,8,60.048838806888639
2,200,9,112.95202724160319
2,200,10,341.45913345874322
2,200,11,6209.7832922860889
2,200,12,10378.114728972732
2,200,13,52.105516838888967
2,200,14,126.30359004708322
2,200,15,392.14720137384296
2,200,16,214.65872830528247
2,200,17,34.000830606909965
2,200,18,118.0927817196846
2,200,19,1367.1891420115367
2,200,20,87.770939828602025
