replication,T,method,lower,upper,covers,length
11,2000,RS,-0.53829445979032653,-0.37401848572384039,1,0.16427597406648614
11,5000,PI,-0.47533060174382391,-0.35521523890335682,1,0.12011536284046709
11,5000,Boot,-0.46552894232026232,-0.34235116385820341,1,0.12317777846205891
11,5000,RS,-0.48987530115590688,-0.34067053949127385,1,0.14920476166463303
11,10000,PI,-0.46856466636307853,-0.38425296742510956,1,0.084311698937968971
11,10000,Boot,-0.46891477914059787,-0.37795837875504873,1,0.090956400385549141
11,10000,RS,-0.45469377551278894,-0.39812385827539915,1,0.0565699172373898
12,500,PI,-0.67890397733369223,-0.21171561270092881,1,0.46718836463276342
12,500,Boot,-0.66669608423123305,-0.25198809383986193,1,0.41470799039137113
12,500,RS,-0.64787814531290078,-0.24274144472172038,1,0.4051367005911804
12,1000,PI,-0.63020512263474626,-0.33959363396085462,1,0.29061148867389164
12,1000,Boot,-0.61948203970118842,-0.3402496817760976,1,0.27923235792509082
12,1000,RS,-0.5820247741684762,-0.38777398242712469,1,0.19425079174135151
12,2000,PI,-0.54955055925576857,-0.34835633421293821,1,0.20119422504283035
12,2000,Boot,-0.54716251841166308,-0.33335292658450011,1,0.21380959182716297
12,2000,RS,-0.50176898646951107,-0.39613790699919571,1,0.10563107947031536
12,5000,PI,-0.5157819236443717,-0.39148480596081159,1,0.12429711768356011
12,5000,Boot,-0.51143740436140617,-0.38597589619443945,1,0.12546150816696672
12,5000,RS,-0.53195535721306852,-0.37531137239211476,1,0.15664398482095376
12,10000,PI,-0.47771697875600572,-0.39343939698362995,1,0.084277581772375765
12,10000,Boot,-0.47455405214728597,-0.38587997949691621,1,0.088674072650369751
12,10000,RS,-0.48651364174264328,-0.38464273399699239,1,0.10187090774565088
13,500,PI,-0.70890204173900639,-0.23632149374746914,1,0.47258054799153726
13,500,Boot,-0.68105262357883378,-0.25848372093121019,1,0.42256890264762359
13,500,RS,-0.92919626937945621,-0.016027266107019267,1,0.91316900327243689
13,1000,PI,-0.68332439633997177,-0.35430857475862293,1,0.32901582158134884
13,1000,Boot,-0.66949294720529406,-0.34171424193262623,1,0.32777870527266784
13,1000,RS,-0.67989865712594288,-0.35773431397265187,1,0.32216434315329101
13,2000,PI,-0.61455786428115278,-0.41137887957193786,1,0.20317898470921492
13,2000,Boot,-0.61647390990964723,-0.40588246378309689,1,0.21059144612655034
13,2000,RS,-0.5711138566829731,-0.4548228871701176,0,0.1162909695128555
13,5000,PI,-0.52666463249034667,-0.40220370211044371,1,0.12446093037990297
13,5000,Boot,-0.53051761910950102,-0.39026339158780721,1,0.14025422752169381
13,5000,RS,-0.56439169117435628,-0.36447664342643415,1,0.19991504774792213
13,10000,PI,-0.48736503559820837,-0.40233794369203285,1,0.085027091906175523
13,10000,Boot,-0.49265642418423039,-0.39606564577739956,1,0.096590778406830835
13,10000,RS,-0.50728567987466722,-0.38241729941557395,1,0.12486838045909326
14,500,PI,-0.83365208212162456,-0.3330834778953714,1,0.50056860422625316
14,500,Boot,-0.80930929868149115,-0.37260972724338193,1,0.43669957143810922
14,500,RS,-0.75213415760209401,-0.41460140241490195,1,0.33753275518719206
14,1000,PI,-0.66684812569108565,-0.38414303043223103,1,0.28270509525885462
14,1000,Boot,-0.66229534531571599,-0.39985487577418222,1,0.26244046954153377
14,1000,RS,-0.67207672926745954,-0.37891442685585719,1,0.29316230241160235
14,2000,PI,-0.64677118788460886,-0.45127841324597212,0,0.19549277463863673
14,2000,Boot,-0.63950725328187308,-0.45671060268276437,0,0.18279665059910871
14,2000,RS,-0.61690769282332691,-0.48114190830725401,0,0.13576578451607291
14,5000,PI,-0.54268970264408822,-0.4215590374410651,1,0.12113066520302312
14,5000,Boot,-0.53794020227228923,-0.40317535740729549,1,0.13476484486499374
14,5000,RS,-0.57698434296540979,-0.38726439711974348,1,0.18971994584566632
14,10000,PI,-0.51247227128984585,-0.42795541139922588,1,0.084516859890619966
14,10000,Boot,-0.51039455752062368,-0.43095038635643379,1,0.079444171164189892
14,10000,RS,-0.51744879471275051,-0.42297888797632122,1,0.094469906736429299
15,500,PI,-0.85467265319726649,-0.37930137183845114,1,0.47537128135881535
15,500,Boot,-0.79753751949972163,-0.40054366092522176,1,0.39699385857449987
15,500,RS,-0.68900467966513301,-0.54496934537058461,0,0.1440353342945484
15,1000,PI,-0.66262864245048825,-0.37855717724411087,1,0.28407146520637738
15,1000,Boot,-0.65653621739975254,-0.37243644223028127,1,0.28409977516947127
15,1000,RS,-0.65338917611869174,-0.38779664357590737,1,0.26559253254278437
15,2000,PI,-0.54763953901441065,-0.35475227464128212,1,0.19288726437312853
15,2000,Boot,-0.5494769917945318,-0.36568066599339266,1,0.18379632580113914
15,2000,RS,-0.61675621981185413,-0.28563559384383863,1,0.3311206259680155
15,5000,PI,-0.50785288326374234,-0.39139506544637359,1,0.11645781781736875
15,5000,Boot,-0.51036111775057491,-0.38750084164480619,1,0.12286027610576872
15,5000,RS,-0.50914163326493089,-0.39010631544518504,1,0.11903531781974586
15,10000,PI,-0.51781055681870936,-0.4336573375902838,1,0.084153219228425558
15,10000,Boot,-0.51778542990767651,-0.43133279144418812,1,0.086452638463488385
15,10000,RS,-0.52700773635920672,-0.42446015804978648,1,0.10254757830942024
16,500,PI,-0.73924674879546537,-0.26507763318165034,1,0.47416911561381503
16,500,Boot,-0.68735130070225692,-0.2885436196336677,1,0.39880768106858921
16,500,RS,-0.74181478846592042,-0.26250959351119529,1,0.47930519495472512
16,1000,PI,-0.73803488509546489,-0.42001713272950669,1,0.3180177523659582
16,1000,Boot,-0.70564294775031922,-0.43255256903622408,1,0.27309037871409514
16,1000,RS,-0.71483704692985739,-0.44321497089511419,1,0.2716220760347432
16,2000,PI,-0.58546383294623161,-0.37712753623967415,1,0.20833629670655746
16,2000,Boot,-0.5718427654915994,-0.3692089162932265,1,0.20263384919837291
16,2000,RS,-0.68491536255699659,-0.27767600662890929,1,0.4072393559280873
